strategy	questions	retr_p	retr_r	hit	util	lat_ms	cost	mem	sem_cov	sem	sem_pass	faith	ctx	ans
verbatim	20	0.060	0.275	0.300	0.200	0.32	12.4	419	1.000	0.265	0.000	0.050	0.695	0.050
extracted_facts	20	0.060	0.275	0.300	0.300	6.66	29.6	1282	1.000	0.274	0.050	0.096	0.628	0.096
episodic	20	0.000	0.000	0.000	0.200	0.11	4.4	19	1.000	0.137	0.000	0.050	0.310	0.050
hybrid	20	0.004	0.200	0.200	0.100	0.51	12.8	438	1.000	0.224	0.000	0.025	0.622	0.025
