strategy	questions	retr_p	retr_r	hit	util	lat_ms	cost	mem	sem_cov	sem	sem_pass	faith	ctx	ans
verbatim	20	0.060	0.275	0.300	0.200	0.25	12.4	419	1.000	0.265	0.000	0.050	0.695	0.050
extracted_facts	20	0.060	0.275	0.300	0.300	4.96	29.6	1282	1.000	0.274	0.050	0.096	0.628	0.096
episodic	20	0.002	0.142	0.200	0.100	0.08	4.4	19	1.000	0.118	0.000	0.017	0.321	0.017
hybrid	20	0.005	0.250	0.250	0.150	0.33	12.8	438	1.000	0.241	0.000	0.042	0.641	0.042
