strategy	p0	oracle	provider	net_gain	benef	harm	ceil	unres
verbatim	0.25	0.6	0.35	0.1	7	3	7	23
extracted_facts	0.25	0.6	0.325	0.075	6	3	7	24
episodic	0.25	0.6	0.35	0.1	5	1	9	25
hybrid	0.25	0.6	0.35	0.1	7	3	7	23
